title,artist,link
Riders from the North Frieze of the Parthenon (1836-1837),Riders from the North Frieze of the Parthenon ,https://collections.ed.ac.uk/art/record/20705?highlight=*:*
Ship in Dry Dock,Graham High Ship in Dry Dock,https://collections.ed.ac.uk/art/record/22532?highlight=*:*
Teacup,Emma Gillies Teacup,https://collections.ed.ac.uk/art/record/53654?highlight=*:*
Untitled - Abstract Figures and Shapes (1965-1966),James B. Thomson Untitled - Abstract Figures and Shapes ,https://collections.ed.ac.uk/art/record/99449?highlight=*:*
Unknown (1960),Hugh Deans Unknown ,https://collections.ed.ac.uk/art/record/53576?highlight=*:*
Untitled (2003),Andrea Bain Untitled ,https://collections.ed.ac.uk/art/record/99938?highlight=*:*
Unknown (1962),Lesley M. Johns Unknown ,https://collections.ed.ac.uk/art/record/50502?highlight=*:*
Valley Landscape (Circa 1950),Marion M Cooper Valley Landscape ,https://collections.ed.ac.uk/art/record/21389?highlight=*:*
Portrait of a Man in Profile (1951),Helmut F G Petzsch Portrait of a Man in Profile ,https://collections.ed.ac.uk/art/record/21392?highlight=*:*
In the Garden (2019),Zuzana Ullmannov,https://collections.ed.ac.uk/art/record/113745?highlight=*:*
Untitled (2007),Jo Ganter Untitled ,https://collections.ed.ac.uk/art/record/99974?highlight=*:*
Portrait of a Man in a Suit (Mar 1963),John Bellany Portrait of a Man in a Suit ,https://collections.ed.ac.uk/art/record/20776?highlight=*:*
Student in the Studio,Leon Francesco Morrocco Student in the Studio,https://collections.ed.ac.uk/art/record/21401?highlight=*:*
Elderly Man in Military Costume (1952),Frances Walker Elderly Man in Military Costume ,https://collections.ed.ac.uk/art/record/20847?highlight=*:*
Untitled (1962),Carl O Ekevall Untitled ,https://collections.ed.ac.uk/art/record/99496?highlight=*:*
Passing Barges (1963),Geoffrey J Roper Passing Barges ,https://collections.ed.ac.uk/art/record/99369?highlight=*:*
Wall hanging (1939),Unknown Wall hanging ,https://collections.ed.ac.uk/art/record/100009?highlight=*:*
"Architrave and lintel from Collegiate Church of St Gertrude, Nivelles, Belgium (Anglo-Saxon)",Unknown Architrave and lintel from Collegiate Church of St Gertrude,https://collections.ed.ac.uk/art/record/20552?highlight=*:*
